lat,lng,q
44.0333,30.8167,13
42.1167,20.5167,13
-28.19333,2.75333,13
37.35833,-1.98139,13
37.35833,-1.98139,13
37.16667,-3.59972,13
37.16667,-3.59972,13
36.655,-4.61361,13
36.655,-4.61361,13
-69.56,-5.34,13
28.1366,-44.8309,13
21.1,-46.5,13
22.0088,-46.5618,13
14.385,-58.225,13
14.385,-58.2317,13
36.0167,-80.42,13
35.2833,-80.8833,13
23.49,-85.21,13
8.05,-85.5333,13
9.7043,-86.1335,13
9.6105,-86.2077,13
9.6,-86.21,13
9.6187,-86.215,13
9.42,-86.92,13
9.083,-87.08,13
9.323,-87.152,13
33.62,-88.645,13
11.0333,-89.8167,13
47.1767,-91.2433,13
35.36,-91.9467,13
11.55,-92.4667,13
8.7,-92.5833,13
11.65,-94,13
-7.3367,-103.03,13
-7.3367,-103.03,13
34.1367,-107.59,13
35.7633,-111.376,13
35.7633,-111.3767,13
43.82,-111.56,13
44.1017,-111.61,13
44.285,-111.61,13
44.2933,-111.82,13
43.7567,-112.606,13
43.5467,-112.916,13
42.9017,-114.246,13
-11.9617,-114.52,13
42.6967,-118.33,13
29.05,-121.0667,13
43.78,-121.46,13
42.005,-121.82,13
42.095,-121.9,13
41.59,-121.96,13
38.5883,-127.515,13
50.5617,-130.841,13
50.5617,-130.8417,13
14.867,-140.033,13
-16.3017,-177.348,13
10.575,93,13.1
10.525,92.95,13.1
10.5,92.925,13.1
10.525,92.975,13.2
22.7883,-46.0733,13.2
39.4883,-118.14,13.2
10.55,92.95,13.3
22.7883,-46.0733,13.3
-16.30027778,177.3358333,13.4
10.4,92.975,13.4
14.8667,-140.031,13.4
49.55,-11.33,13.5
49.5,-11.53,13.5
10.5,92.9,13.5
10.575,92.95,13.6
34.721,-35.216,13.62
37.1483,-113.36,13.7
41.72,-121.3,13.7
10.65,93.05,13.8
10.425,92.975,13.8
10.5,92.975,13.8
-56.3,51.9667,13.8
10.1867,-90.1717,13.8
12.5317,-140.081,13.8
10.6,93.025,13.9
10.675,93,13.9
10.675,92.975,13.9
10.6,92.95,13.9
10.525,92.925,13.9
42.14,-11.48,13.9
10.07,-90.64,13.9
43.0333,33.0667,14
43.0333,33.0667,14
36.9467,-33.18,14
15.51,-96.65833,14
-36.05,-74.78,14
38.303,2.0328,14
-6.76667,-12.8,14
63.65,1.36667,14
46.31,-129.72,14
-8.035,158.64,14
22.935,142.133,14
31.1467,139.938,14
25.125,130.7267,14
9.45,114.55,14
16.4583,99.8483,14
10.5,92.875,14
-17.8,62.6667,14
-56.3,51.9667,14
76.4167,46.9833,14
43.38333,39.83333,14
43.3833,39.8333,14
31.8167,35.0361,14
-11.08333,34.36667,14
43.8833,31.15,14
44.1833,31.0667,14
43.4333,29.7833,14
35.915,25.68,14
35.51,25.6567,14
63.65,1.36667,14
37.19194,-3.11778,14
37.19194,-3.11778,14
-29.8333,-14.85,14
-23.36,-39.0317,14
22.75,-46.115,14
22.0092,-46.5828,14
37.333,-59.983,14
35.2833,-80.88,14
1.94833,-83.8033,14
34.5333,-84.8667,14
9.6097,-86.1552,14
9.6028,-86.1602,14
9.6148,-86.2112,14
9.6273,-86.2218,14
9.631,-86.2257,14
9.088,-86.954,14
9.081,-87.084,14
33.62,-88.65,14
-53.6817,-102.461,14
-53.6817,-102.463,14
31.52,-104.95,14
35.7633,-111.38,14
35.7633,-111.495,14
43.5483,-112.92,14
43.545,-112.951,14
42.9617,-113.16,14
43.5217,-113.2,14
42.8067,-113.391,14
41.73,-121.666,14
41.73,-121.6667,14
41.5733,-122.893,14
41.5733,-122.8933,14
36.8283,-124.765,14
-10.4833,-129.133,14
-10.4833,-129.1333,14
-27.08,-129.4,14
46.3145,-129.7132,14
6.5167,-131.75,14
6.517,-131.75,14
9.833,-136.383,14
24.2533,-157.68,14
38.1,34.89,14.08
34.642,-34.802,14.1
10.45,92.975,14.1
10.475,92.975,14.1
37.3317,-59.9817,14.1
9.8317,-136.381,14.1
7.45,114.548,14.2
10.625,92.95,14.2
10.65,92.95,14.2
9.6467,-86.1942,14.2
-27.0817,-129.4,14.2
1.0267,-133.481,14.2
10.675,93.025,14.3
10.5,92.85,14.3
-10.3617,-33.435,14.4
6.7817,-49.6,14.4
35.193,-37.712,14.5
10.5,92.825,14.5
-49,-4.665,14.5
10.5,92.8,14.6
53.5237,-76.5582,14.7
49.32,-12.18,14.7
47.95,168.782,14.7
10.525,93,14.7
10.55,92.925,14.7
20.85,-72.2167,14.7
9.9517,-90.5367,14.7
49.5667,152,14.8
22.78,-46.0817,14.8
9.6817,-95.3317,14.8
9.6808,-86.1647,14.82
-12.4483,-31.8617,14.9
40.7,19.4,15
8.7,-86.17,15
11.5,142.3167,15
-8.38333,-13.0667,15
41.7167,-32.8333,15
1.7167,-106.9,15
25.706,-111.886,15
1.8167,-94.1333,15
-32.56,179.767,15
-36.925,177.1567,15
49.5767,152,15
17.8767,145.357,15
35.03,139.242,15
24.745,138.312,15
17.3033,136.37,15
16.795,130.015,15
27.7983,127.072,15
27.7983,127.0717,15
24.8633,123.175,15
66.1667,111.667,15
37.9,91.6333,15
-46.478,88.022,15
12.6583,77.2033,15
12.5083,77.1683,15
-16.2667,65.3667,15
-34.5622,64.7205,15
75.4167,44.5667,15
42.3333,31.9833,15
43.25,31.15,15
43.4333,31.15,15
43.7167,30.3167,15
63.1117,27.7317,15
42.8122,11.9284,15
-52.285,6.5633,15
-52.285,6.5633,15
-24.46167,-0.45,15
47.30167,-8.385,15
47.30167,-8.385,15
47.30167,-8.385,15
47.30167,-8.385,15
-39.67667,-15.46833,15
3.35,-30.8667,15
1.725,-33.9,15
28.1367,-44.8308,15
22.7557,-46.077,15
21.0117,-69.368,15
38.3506,-73.3802,15
9.6333,-86.179,15
9.628,-86.183,15
9.6227,-86.2185,15
9.33,-87.15,15
8.791,-87.163,15
11.1199,-87.6215,15
11.0465,-87.6932,15
11.0465,-87.6935,15
33.9617,-87.9167,15
18.4,-92.34,15
28.32,-92.43,15
27.04,-95.34,15
6.6833,-97.4167,15
-7.7,-98.7167,15
-16.95,-99.5,15
82.165,-101.6367,15
43.3383,-112.946,15
43.545,-112.95,15
42.8067,-113.39,15
-12.0033,-119.711,15
-12.0033,-119.7117,15
-12.0033,-119.712,15
41.8083,-122.01,15
15.15,-127.683,15
50.5567,-130.853,15
50.5567,-130.8533,15
39.5,-133.0833,15
-17.65,-136.717,15
-10.5,-139.9833,15
-12.8,-143.55,15
-12.8,-143.55,15
-18.5,-177.3,15
-16.7917,-177.302,15
9.6528,-86.1885,15.09
-32.55166667,179.7666667,15.1
-16.78472222,177.3002778,15.1
18.8683,116.213,15.1
6.406667187,111.472639,15.1
10.625,93.05,15.1
10.675,92.95,15.1
21.0117,-69.3667,15.1
31.9383,-108.93,15.1
8.15,-117.098,15.1
-12.8,-143.55,15.1
14.3817,-145.348,15.1
10.675,93.05,15.2
10.7,92.975,15.2
10.575,92.925,15.3
10.525,92.9,15.3
10.2033,-90.15,15.3
15.15,-127.681,15.3
-15.8833,102.95,15.5
10.7,92.95,15.5
-5.566666667,68.78333333,15.5
-5.5667,68.7833,15.5
22.78,-46.0817,15.5
8.3067,-41.5817,15.6
16.671,54.237,15.7
10.7,93.025,15.8
17.293,56.676,15.9
27.5667,132.882,15.9
7.331077178,113.8344185,15.9
10.5,93,15.9
10.725,92.975,15.9
10.725,92.95,15.9
-34.3167,-79.7317,15.9
62.5767,-27.7633,16
16.39667,-92.75833,16
16.39667,-92.75833,16
16.709,54.524,16
34.31667,27.18333,16
15.27667,-96.51667,16
-3.6167,-127.6833,16
-7.41,-89.1683,16
33.1833,32.4833,16
33.1833,32.4833,16
45.6167,-27.13,16
45.6167,-27.13,16
13,-45.9667,16
13,-45.9667,16
33.555,24.6817,16
30.5468,-113.987,16
-41.49,175.76,16
17.8183,145.0933,16
18.4667,143.7,16
21.1033,143.2917,16
33.81,140.645,16
28.75,139.783,16
27.6667,132.95,16
27.0667,132.095,16
-64.82,127.76,16
21.75,125.5833,16
21.75,125.583,16
-45.465,119.947,16
56.8667,118.6,16
-10.1833,115.317,16
-10.25,113.9333,16
62.25,113.8,16
43.6,105.4333,16
43.6,105.433,16
-15.8833,102.95,16
60.4167,93.1667,16
10.725,93,16
-35.7833,73.6167,16
-18.15,69.5167,16
86.7668,65.519,16
49.25,58.6667,16
16.709,54.5243,16
39.1333,50,16
42.05,41.3,16
-1.9417,28.9917,16
34.31667,27.18333,16
34.31667,27.18333,16
34.31667,27.18333,16
34.31667,27.18333,16
53.4667,27.05,16
35.915,25.68,16
35.4417,25.66,16
40.3675,16.5067,16
75.729,13.854,16
7.6833,-5.2,16
-31.6083,-22.445,16
62.5767,-27.7633,16
62.5767,-27.7633,16
62.51667,-27.96667,16
-21.4817,-43.1167,16
22.015,-46.5462,16
-36.02,-74.6,16
9.5987,-86.14,16
9.6112,-86.1547,16
9.6308,-86.1817,16
9.37,-86.87,16
9.086,-86.954,16
11.4152,-87.3328,16
11.4148,-87.3332,16
11.1168,-87.5152,16
11.11,-87.63,16
11.1135,-87.6342,16
33.9617,-87.92,16
29.81,-89.21,16
10,-90.6967,16
10,-90.697,16
34.03,-99.53,16
-13.3833,-100.5,16
44.1233,-111.345,16
43.7967,-111.4733,16
44.2883,-111.5883,16
44.4717,-111.863,16
29.6167,-118.45,16
40.595,-119.45,16
32.6167,-124.25,16
46.529,-129.5838,16
50.5683,-130.83,16
50.5683,-130.83,16
50.6833,-131.0083,16
-17.65,-136.7167,16
39.35,-149.9333,16
-65.37,-173.8733,16
-20.2,-176.8,16
10.6,92.925,16.1
10.4,93,16.2
10.9,92.8,16.2
31.7417,-104.94,16.2
3.4867,132.343,16.3
10.525,92.875,16.3
22.7433,-46.1083,16.3
1.0167,-133.481,16.3
9.8163,-86.0447,16.32
10.475,93,16.4
42.7867,136.543,16.5
10.425,93,16.5
10.45,93,16.5
10.7,93,16.5
10.625,92.925,16.5
10.575,93.025,16.6
45.6,151.533,16.7
10.65,92.925,16.7
10.725,92.925,16.7
38.2217,-113.01,16.7
37.1367,-113.41,16.7
53.28333333,-1.683333333,16.72
45.6,151.533,16.8
10.7,93.05,16.8
10.725,93.025,16.8
10.75,92.95,16.8
10.7,92.925,16.8
46.1817,-112.8,16.8
10.0883,-90.6317,16.9
36.3167,-105.76,16.9
-29.8517,-177.88,16.9
34.6667,32.95,17
34.6667,32.9333,17
62.2083,-28.3767,17
1.95033,-86.02,17
16.706,56.418,17
40.62,3.5,17
-32.1667,-20.1667,17
36.5917,-33.6433,17
36.435,-33.9417,17
4.4667,-82.4333,17
40.5866,3.3171,17
24.2667,-39.1,17
2.64667,-85.735,17
1.6667,-120.3333,17
53.3833,-163.333,17
29.0333,-41.1667,17
47.9548,-129.091,17
47.9467,-129.097,17
47.9532,-129.092,17
34.583,159.167,17
34.5667,159.1433,17
-7.6267,157.205,17
27.7917,142.75,17
33.81,140.643,17
24.4883,140.297,17
28.3,139.565,17
29.8,136.875,17
26.3733,134.245,17
3.4967,132.478,17
-3.6331,129.8294,17
5.8917,125.8083,17
8.9667,120.233,17
-45.3867,119.94,17
-45.4,119.887,17
56.2333,113.433,17
66,111.25,17
16.0967,99.6367,17
16.0967,99.6367,17
18.35,99.2833,17
18.35,99.2833,17
19.7333,99.1333,17
18.9,98.9333,17
18.6167,98.8833,17
18.6167,98.8833,17
18.9,98.75,17
10.55,92.9,17
10.9,92.825,17
1.08333,92.7,17
54.6667,83.6667,17
54.1167,83.4667,17
12.645,77.1517,17
-40.7833,72.7667,17
-18.8833,70.2333,17
-28.7022,67.1178,17
-28.6905,67.1028,17
-21.6833,60.1167,17
52,58.25,17
39.9167,49.2667,17
39.8167,49.1833,17
44.21667,38.15,17
44.2167,38.15,17
-1.8833,36.6,17
43.6667,36.5667,17
43.6667,36.4833,17
-10.25,34.41667,17
43.9167,31.6167,17
43.6,31.3667,17
43.6167,30.0167,17
-6.4467,29.5433,17
-6.4467,29.5433,17
40.3983,29.1117,17
-1.9417,28.9917,17
42.95,28.5333,17
53.5833,26.35,17
40.3683,16.5067,17
36.0183,15.965,17
-51.56,7.7367,17
-51.56,7.7367,17
-55.3383,-1.5983,17
53.2805,-1.6855,17
-69.41,-5.28,17
36.84722,-5.61083,17
36.84722,-5.61083,17
-9.05,-10.4833,17
-29.9167,-11.9,17
-37.87,-12.075,17
62.2083,-28.3767,17
62.2083,-28.3767,17
-57.2117,-29.2033,17
24.2667,-39.1,17
22.7608,-46.0722,17
22.78,-46.1278,17
22.0153,-46.536,17
14.3917,-58.335,17
14.3933,-58.3367,17
14.3933,-58.4133,17
14.4017,-58.4317,17
-22.6783,-70.1817,17
-36.02,-74.59,17
2.70333,-85.9783,17
0.7353,-86.003,17
9.7975,-86.0395,17
9.609,-86.1495,17
9.614,-86.1578,17
9.308,-86.172,17
34.7333,-86.5,17
30.995,-86.9667,17
10.6833,-88.8,17
12.3167,-93.6667,17
17.93,-94.38,17
44.49,-101.59,17
44.8,-102.88,17
34.08,-107.05,17
34.57,-108.59,17
34.57,-108.59,17
43.89,-111.415,17
43.7983,-111.47,17
44.2883,-111.59,17
43.8108,-111.7858,17
43.81,-111.79,17
44.4733,-111.86,17
43.7667,-112.531,17
43.8233,-112.745,17
42.7483,-113.403,17
4.05,-115.6,17
12.9,-117.4,17
42.6733,-118.38,17
42.58,-118.51,17
42.5167,-118.53,17
37.8317,-118.811,17
41.7267,-121.67,17
41.8083,-122.008,17
41.8083,-122.0083,17
47.0683,-122.22,17
41.5683,-122.881,17
41.5683,-122.8817,17
-2.0833,-128.35,17
-1.45,-130.5667,17
60.753,-162.76,17
10.675,92.925,17.1
10.75,92.925,17.1
10.525,92.85,17.1
37.06,-113.48,17.1
9.674,-86.1703,17.14
3.4967,132.48,17.2
10.875,92.8,17.2
43.9464,30.80515,17.5
-26.0167,174.017,17.6
23.6817,136.082,17.6
10.6,93.05,17.6
10.525,92.825,17.6
35.2167,-70.1667,17.6
20.2167,-71.3667,17.6
10.65,-169.8,17.6
10.75,92.975,17.7
10.875,92.825,17.7
10.725,93.05,17.8
10.9,92.85,17.8
39.9017,-115.49,17.8
10.65,93.075,17.9
10.775,92.95,17.9
34.65,32.9,18
67.6333,26.25,18
67.6333,26.25,18
34.8833,32.35,18
33.555,24.7067,18
33.5767,24.645,18
36.9417,-33.1617,18
36.955,-33.1817,18
11.75,-74.2833,18
3.6667,-176.25,18
16.95,-58.4,18
16.95,-58.4,18
9.81667,-41.8333,18
9.81667,-41.8333,18
76.8,-124.233,18
-16.35138889,176.585,18
52.435,159.733,18
13.9933,145.765,18
21.4517,143.0417,18
21.4517,143.028,18
30.8,139.918,18
25.5317,130.0033,18
25.5933,129.835,18
26.46,129.8267,18
27.5417,127.048,18
3.133,119.633,18
62.4167,113.917,18
-45.4717,113.535,18
66.6,112.283,18
71.5833,110.667,18
53.1167,108.317,18
16.7517,101.22,18
16.7517,101.22,18
10.775,92.925,18
10.725,92.9,18
10.75,92.9,18
10.525,92.8,18
66.6167,88,18
-24.7,73.1,18
-20.5833,63.5333,18
-31.4167,61.9333,18
56.8333,60.6667,18
52.0833,58.3333,18
31.5167,34.8611,18
-10.5,34.35,18
43.1,33.1333,18
43.0167,31.9667,18
43.2833,31.4,18
44.2167,31.2667,18
43.3417,29.675,18
-6.4467,29.5433,18
-1.9417,28.9917,18
35.4867,25.6583,18
65.6267,20.6833,18
36.5617,16.55,18
44.8,13.9,18
42.9194,11.8438,18
14.8833,0.9167,18
65.1387,0.0047,18
39.73722,-2.87194,18
39.73722,-2.87194,18
-16.25,-15.75,18
23.14333,-17.62167,18
-14.9167,-19.3667,18
-57.2167,-29.2033,18
-24.285,-41.6333,18
-24.285,-41.6333,18
22.7668,-46.0832,18
22.7368,-46.1117,18
22.0577,-46.525,18
-2.925,-55.405,18
23.6133,-79.0483,18
-10.3283,-80.025,18
8.628,-85.88,18
9.797,-86.0378,18
2.02167,-86.0633,18
9.7333,-86.115,18
9.6058,-86.1477,18
9.631,-86.1762,18
9.356,-86.841,18
9.362,-86.853,18
2.56833,-87.8767,18
29.41,-89.4,18
33.0817,-89.8517,18
28.94,-92.6,18
35.983,-93.3,18
35.9833,-93.3,18
17.85,-94.07,18
43.1667,-95.1833,18
28.82,-96.04,18
56.7833,-101.1,18
34.0033,-106.94,18
43.89,-111.42,18
20.8333,-112.5167,18
4.1,-115.683,18
39.6767,-118.07,18
-19.4033,-119.886,18
-19.4032,-119.888,18
37.1667,-120.066,18
37.1667,-120.0667,18
46.85,-122.26,18
41.5683,-122.88,18
45.6533,-123.17,18
49.7133,-124.5283,18
-27.0667,-129.2,18
-27.0667,-129.2,18
-27.0667,-129.2,18
46.5283,-129.5703,18
2.0667,-132.5333,18
5.6333,-133.4333,18
1.015,-133.47,18
-0.8633,-134.05,18
50.95,-146.083,18
24.3467,-157.6883,18
8.75,-160.5333,18
-16.3583,-176.593,18
-24.767,-179.683,18
49.7,-124.516,18.1
10.775,92.9,18.1
10.85,92.8,18.1
7.926006328,114.5666697,18.2
10.75,93.05,18.2
32.1333,-106.85,18.2
32.3667,-107.3,18.2
50.95,-146.081,18.2
9.8707,-85.9968,18.23
43.95843333,30.78115,18.3
56.535,152.492,18.3
10.875,92.85,18.3
13.985,145.7525,18.4
3.1317,119.632,18.4
10.75,93.025,18.4
10.85,92.825,18.4
31.8625,35.45694444,18.4
-31.55,-108.5,18.4
31.9417,-108.83,18.4
-29.965,-177.531,18.4
-24.7667,-179.681,18.4
38.35,-73.37,18.5
10.55,92.875,18.6
10.9,92.875,18.6
39.6333,-117.99,18.6
9.1738,-84.8035,18.63
10.775,92.975,18.7
10.575,92.9,18.7
75.4417,14.2367,18.7
17.53555556,144.3691667,18.8
-14.6,93.3833,18.8
10.55,93.025,18.8
10.8,92.95,18.8
10.85,92.85,18.8
-29.5167,67.3833,18.8
-46.75,-0.05,18.8
-1.4767,-131.41,18.8
1.0117,-133.46,18.8
15.05,-142.766,18.8
10.675,93.075,18.9
10.75,93,18.9
10.775,92.875,18.9
10.875,92.875,18.9
45.3733,-111.74,18.9
34.5833,32.95,19
34.8334,32.5667,19
62.7833,29.2167,19
24.9,122.7,19
-28.33333,-26.65,19
2.5333,-107.2167,19
16.891,55.95,19
40.6135,3.4988,19
2.75,60.25,19
33.7667,27.9,19
-9.2667,-10.55,19
15.19667,-96.66,19
12.8167,-97.7833,19
2.39667,-85.725,19
-33.1,1.48333,19
-33.1,1.48333,19
-9.2667,-10.55,19
-16,166.78,19
52.4483,159.283,19
-7.7267,157.267,19
-3.3333,155.5,19
17.5467,144.382,19
16.3367,142.5633,19
37.3,140.983,19
27.2,140.002,19
28.6317,139.617,19
33.395,138.27,19
33.3967,138.268,19
16.9167,136.9583,19
62.45,114.333,19
6.262667,113.968333,19
61.75,113,19
55.3,109.717,19
-39.465,104.368,19
18.9333,99.1167,19
18.9333,99.1167,19
10.8,92.975,19
10.8,92.925,19
10.7,92.9,19
10.8,92.9,19
38.3667,91.1333,19
-29.5167,67.3833,19
52.0833,58.3333,19
52.0833,58.3333,19
52,58.25,19
39.6667,51.3,19
39.1,51.0833,19
39.15,50.0833,19
43.1833,38.1667,19
44.325,33.3552,19
43.4167,33.25,19
34.9,32.5667,19
44.364,32.5533,19
43.4,32.5,19
35.4625,31.48806,19
35.51056,31.45111,19
43.6,29.8,19
51.5667,29.6833,19
43.5333,29.36,19
43.1167,28.6833,19
63.105,27.73,19
35.435,25.6683,19
57.59,21.86,19
57.59,21.86,19
57.59,21.86,19
-38.95,19.15,19
45.5,15.2,19
43.8167,8.8967,19
58.3167,6.3333,19
-65.2,1.205,19
65.1383,0.0033,19
36.6325,-5.43194,19
36.6325,-5.43194,19
-18.5333,-10.25,19
26.6533,-40.553,19
28.136,-44.8306,19
22.7562,-46.0729,19
22.765,-46.0735,19
